,mean_histogram,num_channels,num_classes,resolution_0,resolution_1,sequence_size
cifar100_num_classes_37_num_dev_examples_7770_num_test_examples_4514_resolution_32_num_channels_3,"[146.42  19.84  31.24  31.24  42.79  36.15  81.9   63.25  56.35  50.75
  44.19  38.6   25.81  11.44  17.68  22.07  22.74  13.09  21.84  39.18
  57.46  45.31  41.48  40.86 170.17  25.11   8.36  11.64  23.84  24.18
  27.92  27.6   38.86  41.16  33.37  23.41  23.64  18.59   2.45   0.78
   3.52   9.36  22.61  22.33  22.28  20.76  12.33   9.61   7.84  23.63
   2.77   0.79   0.65   1.62   7.88  12.65  38.56  47.17  50.39  42.15
  45.19  48.62  35.19  13.56  10.     8.45   6.89   7.86  10.2   26.06
  31.21  34.6   25.03  12.42  42.11   6.41   4.06   3.87   4.01   9.89
   7.53  20.99  27.11  48.48  52.31  61.06  43.    83.89  40.21  37.78
  46.68  37.18  66.18  45.71  29.61  19.88  26.53  29.89  35.65  65.04]",3,100,32,32,1
cifar10_num_classes_3_num_dev_examples_6432_num_test_examples_2274_resolution_16_num_channels_3,"[ 37.79  17.84  32.22  40.51  51.66  78.22 116.43  92.68  67.9   79.37
  57.67  41.46  21.43   4.76  21.07  18.58  31.23  24.81  26.03  25.55
  64.02  39.83  46.88  49.77 107.52  37.67  12.09   9.73  29.99  23.44
  39.96  41.16  38.53  37.11  26.71  22.54  21.87  11.63   2.49   1.77
   1.22   7.29  19.38  20.01  27.92  19.39  14.07   6.16   4.89  12.28
   1.63   1.1    0.49   2.1    6.28  17.13  46.41  63.72  68.85  56.84
  51.89  53.59  40.03  19.    11.76  11.48   8.18  10.18  17.15  22.8
  26.6   32.14  23.15  10.51  15.25   4.53   6.88   7.55   7.46   7.85
   9.96  20.58  32.77  42.94  54.51  78.51  57.66  55.62  37.1   37.92
  41.47  38.38  63.91  24.46  10.62  14.92  15.71  21.71  23.89  52.3 ]",3,10,32,32,1
cifar10_num_classes_6_num_dev_examples_11076_num_test_examples_1686_resolution_32_num_channels_3,"[109.23  34.63  40.65  40.66  40.52  48.93  98.88  71.06  50.95  55.38
  39.52  34.75  23.92   6.32  25.22  34.82  22.44  21.63  20.02  37.06
  52.74  50.93  52.3   31.6  142.47  15.92   8.48   9.9   28.87  39.79
  35.48  34.29  39.77  35.07  27.83  18.61  17.46  18.08   1.82   0.57
   2.53   5.36  23.58  31.19  22.6   15.99   8.38   8.69   6.96  22.4
   2.89   0.77   0.41   1.99   4.93  15.6   37.16  57.42  53.32  40.62
  45.75  44.31  36.    17.76  20.29   9.55   7.9    7.33   9.07  16.75
  31.92  39.82  33.48  11.74  35.1    6.53   2.85   3.85   4.57   5.63
   6.03  18.5   23.62  38.4   49.91  70.27  56.54  85.99  39.74  36.87
  41.05  47.48  66.51  44.96  25.15  11.12  24.16  30.94  32.17  51.03]",3,10,32,32,1
citrus_leaves_num_classes_3_num_dev_examples_186_num_test_examples_48_resolution_512_num_channels_3,"[5.73880e+02 6.03420e+02 2.17421e+03 6.01870e+02 4.58880e+02 2.42700e+02
 5.51850e+02 1.23171e+03 1.37651e+03 6.33714e+03 4.51206e+03 1.08734e+03
 2.28300e+02 1.17100e+01 1.32810e+02 1.36275e+03 1.58935e+03 7.21300e+02
 2.27020e+03 1.35199e+03 2.03018e+03 5.70237e+03 5.17661e+03 2.99096e+03
 1.92104e+04 1.47600e+01 2.99000e+00 1.44900e+01 9.07900e+02 1.90096e+03
 1.19379e+03 7.22390e+02 1.15416e+03 1.53635e+03 6.17975e+03 3.44351e+03
 1.53246e+03 2.91060e+02 2.46800e+01 7.04000e+00 7.96000e+00 7.07100e+01
 1.87223e+03 1.75991e+03 9.79400e+02 1.19827e+03 2.86099e+03 6.64125e+03
 1.44988e+03 6.79680e+02 1.29300e+01 2.89000e+00 5.06000e+00 4.68000e+00
 1.75600e+01 7.21280e+02 2.15769e+03 1.77404e+03 1.98041e+03 4.35620e+03
 5.36996e+03 1.34054e+03 5.17410e+02 6.66000e+01 2.03200e+01 1.50600e+01
 6.60000e+00 9.14000e+00 3.49800e+01 2.16130e+03 2.87444e+03 3.57425e+03
 6.72824e+03 1.57767e+03 5.06820e+02 3.32000e+01 2.08900e+01 1.77500e+01
 2.40400e+01 1.49600e+01 2.51700e+01 2.23590e+02 1.83180e+03 4.00675e+03
 5.76999e+03 5.23035e+03 1.18032e+03 1.17194e+03 6.98170e+02 3.91893e+03
 9.40869e+03 7.19525e+03 2.59556e+03 2.65470e+02 3.55920e+02 1.08330e+03
 6.15553e+03 6.37219e+03 3.68733e+03 5.07770e+02]",3,4,256,256,1
citrus_leaves_num_classes_4_num_dev_examples_429_num_test_examples_48_resolution_256_num_channels_3,"[4.019200e+02 3.624700e+02 1.560240e+03 5.536900e+02 2.190400e+02
 1.731500e+02 3.439900e+02 1.433510e+03 2.068540e+03 6.382930e+03
 4.458290e+03 1.379910e+03 1.980200e+02 1.436000e+01 4.854000e+01
 1.259720e+03 7.053200e+02 4.800400e+02 6.717300e+02 1.758920e+03
 2.638510e+03 5.156760e+03 5.181630e+03 3.016700e+03 2.113404e+04
 1.959000e+01 4.360000e+00 1.399000e+01 4.689800e+02 1.246030e+03
 6.934000e+02 3.882200e+02 1.656810e+03 2.319540e+03 6.366290e+03
 3.337960e+03 2.028800e+03 1.864600e+02 1.993000e+01 7.800000e+00
 7.970000e+00 3.891000e+01 1.487530e+03 8.397000e+02 8.405500e+02
 1.982790e+03 3.369620e+03 6.806970e+03 1.716090e+03 1.191910e+03
 1.777000e+01 3.400000e+00 5.990000e+00 5.730000e+00 2.020000e+01
 9.899100e+02 1.202400e+03 1.505110e+03 3.369740e+03 3.959700e+03
 5.966100e+03 2.252660e+03 3.163600e+02 3.114000e+01 1.514000e+01
 1.193000e+01 6.610000e+00 1.092000e+01 2.544400e+02 1.587290e+03
 2.849460e+03 3.702500e+03 6.572940e+03 2.047250e+03 7.541900e+02
 3.429000e+01 2.469000e+01 1.720000e+01 2.818000e+01 2.432000e+01
 3.789000e+01 3.136900e+02 1.754480e+03 4.377910e+03 4.755560e+03
 5.073290e+03 1.698740e+03 7.665700e+02 1.301090e+03 3.830710e+03
 8.535840e+03 6.845350e+03 3.086270e+03 4.771000e+02 4.554300e+02
 1.921440e+03 5.403770e+03 5.634950e+03 3.461060e+03 6.471300e+02]",3,4,256,256,1
cmaterdb_bangla_num_classes_10_num_dev_examples_3540_num_test_examples_460_resolution_32_num_channels_3,"[2.29758e+03 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00
 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00
 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00
 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 6.24000e+00 2.62500e+01
 2.47530e+02 3.00000e-02 6.90000e+00 0.00000e+00 0.00000e+00 0.00000e+00
 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00
 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00
 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00
 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00
 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00
 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00
 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00
 0.00000e+00 0.00000e+00 0.00000e+00 5.40000e-01 6.00000e-02 0.00000e+00
 3.60000e-01 0.00000e+00 0.00000e+00 9.90000e-01 0.00000e+00 0.00000e+00
 0.00000e+00 0.00000e+00 0.00000e+00 2.38200e+01 3.30000e-01 3.00000e-01
 4.05000e+00 0.00000e+00 1.05000e+00 2.56500e+01 2.46270e+02 1.62000e+00
 1.59000e+00 1.59000e+00 1.62000e+00 1.77630e+02]",3,10,32,32,1
cmaterdb_bangla_num_classes_7_num_dev_examples_3584_num_test_examples_315_resolution_16_num_channels_3,"[2.30106e+03 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00
 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00
 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00
 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 5.55000e+00 2.72400e+01
 2.48490e+02 1.20000e-01 6.78000e+00 0.00000e+00 0.00000e+00 0.00000e+00
 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00
 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00
 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00
 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00
 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00
 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00
 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00
 0.00000e+00 0.00000e+00 0.00000e+00 4.80000e-01 1.80000e-01 0.00000e+00
 4.50000e-01 0.00000e+00 0.00000e+00 1.26000e+00 0.00000e+00 0.00000e+00
 0.00000e+00 0.00000e+00 0.00000e+00 2.35200e+01 3.00000e-01 4.20000e-01
 3.63000e+00 0.00000e+00 7.20000e-01 2.49600e+01 2.48760e+02 1.08000e+00
 1.98000e+00 1.98000e+00 1.08000e+00 1.71960e+02]",3,10,32,32,1
cmaterdb_bangla_num_classes_8_num_dev_examples_2800_num_test_examples_120_resolution_16_num_channels_3,"[2.28768e+03 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00
 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00
 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00
 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 5.64000e+00 2.69700e+01
 2.60190e+02 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00
 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00
 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00
 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00
 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00
 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00
 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00
 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00
 0.00000e+00 0.00000e+00 0.00000e+00 6.60000e-01 9.00000e-02 0.00000e+00
 6.30000e-01 0.00000e+00 0.00000e+00 1.17000e+00 0.00000e+00 0.00000e+00
 0.00000e+00 0.00000e+00 0.00000e+00 2.35500e+01 2.70000e-01 5.40000e-01
 4.14000e+00 0.00000e+00 1.08000e+00 2.58900e+01 2.59290e+02 1.38000e+00
 1.26000e+00 1.26000e+00 1.38000e+00 1.68930e+02]",3,10,32,32,1
cmaterdb_telugu_num_classes_10_num_dev_examples_1350_num_test_examples_200_resolution_32_num_channels_3,"[2.1858e+03 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 6.6000e+00 3.3210e+01
 2.4687e+02 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
 0.0000e+00 0.0000e+00 0.0000e+00 2.2200e+00 1.8000e-01 0.0000e+00
 6.3000e-01 0.0000e+00 0.0000e+00 1.8900e+00 0.0000e+00 0.0000e+00
 0.0000e+00 0.0000e+00 0.0000e+00 4.2450e+01 1.5000e-01 2.1000e-01
 3.2700e+00 0.0000e+00 6.3000e-01 4.3560e+01 2.3295e+02 1.5300e+00
 2.3400e+00 2.3400e+00 1.5300e+00 2.6364e+02]",3,10,32,32,1
coil100_num_classes_24_num_dev_examples_1032_num_test_examples_408_resolution_256_num_channels_3,"[3.270000e+01 3.218000e+01 2.540000e+01 4.929000e+01 4.469000e+01
 1.113063e+04 6.432600e+02 1.060650e+03 6.715100e+02 6.959510e+03
 6.122810e+03 1.610330e+03 4.552500e+02 7.025000e+01 7.022000e+01
 3.256000e+01 4.570000e+01 2.094000e+01 4.891000e+01 7.548000e+01
 2.044400e+02 3.602800e+02 3.658300e+02 1.550200e+02 4.580550e+03
 1.117580e+03 5.550000e+00 7.900000e+00 5.410000e+00 8.660000e+00
 1.181000e+01 1.165800e+02 2.055700e+02 1.453200e+02 2.552000e+02
 1.673500e+02 1.547000e+02 3.851000e+01 1.042000e+01 5.400000e+00
 6.950000e+00 6.240000e+00 4.400000e+00 3.370000e+01 6.311000e+01
 1.311500e+02 9.175000e+01 1.927500e+02 9.564000e+01 6.376000e+01
 1.463000e+01 8.660000e+00 1.672000e+01 1.103000e+01 2.239000e+01
 1.430000e+01 5.317600e+02 3.236100e+02 6.167900e+02 2.674100e+02
 3.887900e+02 2.537600e+02 9.016000e+01 1.632000e+01 1.008000e+01
 1.379000e+01 7.570000e+00 9.470000e+00 8.670000e+00 1.102900e+02
 1.897100e+02 1.962700e+02 1.651710e+03 6.653800e+02 5.105700e+02
 1.772400e+02 1.557100e+02 2.735600e+02 5.942000e+01 3.572000e+01
 4.808000e+01 4.362000e+02 1.977600e+02 2.791900e+02 1.698400e+02
 3.275300e+02 4.469100e+02 1.421400e+02 9.806000e+01 1.240080e+03
 2.144100e+02 1.774500e+02 1.598100e+02 5.844000e+01 9.718000e+01
 9.933000e+01 1.491900e+02 1.119100e+02 1.664000e+02 6.680000e+01]",3,72,128,128,1
